,Id,StrategyId,TradingObject,Freq
0,000009_600770@192.168.1.12@30901,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000009_600770,000009,600770",0.108
1,000009_600770@192.168.1.51@41001,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000009_600770,000009,600770",0.042
2,000025_000028@192.168.1.12@30902,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000025_000028,000025,000028",0.092
3,000025_000062@192.168.1.12@30903,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000025_000062,000025,000062",0.081
4,000025_000062@192.168.1.51@41002,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000025_000062,000025,000062",0.046
5,000025_000652@192.168.1.12@30904,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000025_000652,000025,000652",0.079
6,000025_000652@192.168.1.51@41003,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000025_000652,000025,000652",0.038
7,000027_000543@192.168.1.12@30905,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000027_000543,000027,000543",0.138
8,000031_000006@192.168.1.12@30906,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000031_000006,000031,000006",0.1
9,000031_000006@192.168.1.51@41004,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000031_000006,000031,000006",0.056
10,000031_000667@192.168.1.12@30907,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000031_000667,000031,000667",0.095
11,000061_002183@192.168.1.12@30908,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000061_002183,000061,002183",0.083
12,000061_002183@192.168.1.51@41005,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000061_002183,000061,002183",0.043
13,000061_002344@192.168.1.12@30909,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000061_002344,000061,002344",0.085
14,000066_000050@192.168.1.51@41006,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000066_000050,000066,000050",0.034
15,000078_002277@192.168.1.51@41007,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000078_002277,000078,002277",0.042
16,000090_002431@192.168.1.12@30910,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000090_002431,000090,002431",0.088
17,000090_002431@192.168.1.51@41008,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000090_002431,000090,002431",0.037
18,000156_300133@192.168.1.12@30911,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000156_300133,000156,300133",0.087
19,000156_300133@192.168.1.51@41009,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000156_300133,000156,300133",0.039
20,000156_300291@192.168.1.51@41010,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000156_300291,000156,300291",0.044
21,000426_000758@192.168.1.51@41011,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000426_000758,000426,000758",0.029
22,000536_000050@192.168.1.12@30912,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000536_000050,000536,000050",0.067
23,000536_000050@192.168.1.51@41012,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000536_000050,000536,000050",0.032
24,000552_000937@192.168.1.12@30913,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000552_000937,000552,000937",0.118
25,000552_000937@192.168.1.51@41013,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000552_000937,000552,000937",0.054
26,000552_002128@192.168.1.12@30914,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000552_002128,000552,002128",0.141
27,000552_002128@192.168.1.51@41014,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000552_002128,000552,002128",0.053
28,000552_600348@192.168.1.51@41015,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000552_600348,000552,600348",0.045
29,000612_000807@192.168.1.12@30915,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000612_000807,000612,000807",0.068
30,000652_000062@192.168.1.12@30916,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000652_000062,000652,000062",0.086
31,000652_000062@192.168.1.51@41016,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000652_000062,000652,000062",0.04
32,000662_000997@192.168.1.51@41017,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000662_000997,000662,000997",0.028
33,000662_002063@192.168.1.51@41018,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000662_002063,000662,002063",0.029
34,000662_002093@192.168.1.51@41019,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000662_002093,000662,002093",0.026
35,000680_000528@192.168.1.51@41020,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000680_000528,000680,000528",0.044
36,000718_000732@192.168.1.12@30917,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000718_000732,000718,000732",0.097
37,000777_002011@192.168.1.12@30918,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000777_002011,000777,002011",0.084
38,000829_002416@192.168.1.12@30919,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000829_002416,000829,002416",0.088
39,000829_002416@192.168.1.51@41021,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000829_002416,000829,002416",0.04
40,000860_000596@192.168.1.12@30920,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000860_000596,000860,000596",0.07
41,000860_000596@192.168.1.51@41022,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000860_000596,000860,000596",0.034
42,000877_000012@192.168.1.12@30921,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000877_000012,000877,000012",0.074
43,000877_000401@192.168.1.12@30922,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000877_000401,000877,000401",0.069
44,000877_000401@192.168.1.51@41023,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000877_000401,000877,000401",0.036
45,000878_000960@192.168.1.51@41024,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000878_000960,000878,000960",0.049
46,000897_000979@192.168.1.12@30923,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000897_000979,000897,000979",0.037
47,000897_000979@192.168.1.51@41025,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000897_000979,000897,000979",0.023
48,000926_000732@192.168.1.51@41026,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000926_000732,000926,000732",0.07
49,000937_002128@192.168.1.12@30924,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000937_002128,000937,002128",0.143
50,000937_600348@192.168.1.12@30925,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000937_600348,000937,600348",0.115
51,000937_600348@192.168.1.51@41027,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000937_600348,000937,600348",0.051
52,000975_002155@192.168.1.12@30926,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000975_002155,000975,002155",0.106
53,000975_002155@192.168.1.51@41028,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000975_002155,000975,002155",0.046
54,000979_000897@192.168.1.12@30927,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000979_000897,000979,000897",0.031
55,000987_000712@192.168.1.12@30928,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"000987_000712,000987,000712",0.083
56,000987_000712@192.168.1.51@41029,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"000987_000712,000987,000712",0.038
57,002005_002056@192.168.1.51@41030,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002005_002056,002005,002056",0.03
58,002005_002176@192.168.1.12@30929,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002005_002176,002005,002176",0.067
59,002013_600316@192.168.1.12@30930,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002013_600316,002013,600316",0.09
60,002018_002416@192.168.1.12@30931,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002018_002416,002018,002416",0.051
61,002030_002022@192.168.1.12@30932,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002030_002022,002030,002022",0.082
62,002041_600108@192.168.1.51@41031,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002041_600108,002041,600108",0.035
63,002041_600598@192.168.1.51@41032,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002041_600598,002041,600598",0.035
64,002056_002176@192.168.1.12@30933,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002056_002176,002056,002176",0.073
65,002078_000488@192.168.1.12@30934,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002078_000488,002078,000488",0.081
66,002093_002063@192.168.1.12@30935,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002093_002063,002093,002063",0.078
67,002093_002063@192.168.1.51@41033,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002093_002063,002093,002063",0.036
68,002106_002273@192.168.1.51@41034,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002106_002273,002106,002273",0.04
69,002118_002317@192.168.1.51@41035,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002118_002317,002118,002317",0.022
70,002118_002332@192.168.1.51@41036,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002118_002332,002118,002332",0.025
71,002127_002183@192.168.1.51@41037,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002127_002183,002127,002183",0.028
72,002127_002344@192.168.1.12@30936,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002127_002344,002127,002344",0.07
73,002127_002344@192.168.1.51@41038,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002127_002344,002127,002344",0.032
74,002152_300202@192.168.1.12@30937,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002152_300202,002152,300202",0.104
75,002155_000426@192.168.1.51@41039,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002155_000426,002155,000426",0.038
76,002155_000758@192.168.1.12@30938,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002155_000758,002155,000758",0.093
77,002155_000758@192.168.1.51@41040,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002155_000758,002155,000758",0.041
78,002244_002285@192.168.1.12@30939,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002244_002285,002244,002285",0.089
79,002244_002285@192.168.1.51@41041,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002244_002285,002244,002285",0.05
80,002254_002064@192.168.1.51@41042,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002254_002064,002254,002064",0.077
81,002261_002280@192.168.1.12@30940,Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,"002261_002280,002261,002280",0.064
82,002261_002280@192.168.1.51@41043,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002261_002280,002261,002280",0.029
83,002269_002503@192.168.1.51@41044,Cn.All.60B.PairX(MFA)@Cn.Id807062.IcStkAll_T1L1,"002269_002503,002269,002503",0.041
