strategy,strategyId,trader
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLi@192.168.1.29@20001
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLj@192.168.1.29@20002
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLjm@192.168.1.29@20003
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLl@192.168.1.29@20004
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLm@192.168.1.29@20005
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLp@192.168.1.29@20006
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLpp@192.168.1.29@20007
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQal@192.168.1.29@20008
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQau2@192.168.1.29@20009
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQbu@192.168.1.29@20010
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQrb@192.168.1.29@20011
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZCF@192.168.1.29@20012
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZMA@192.168.1.29@20013
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZTC@192.168.1.29@20014
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLbb@192.168.1.29@20201
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLcs@192.168.1.29@20202
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLj@192.168.1.29@20203
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLjd@192.168.1.29@20204
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLjm@192.168.1.29@20205
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLpp@192.168.1.29@20206
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQal@192.168.1.29@20207
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQau2@192.168.1.29@20208
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQbu@192.168.1.29@20209
