strategy,strategyId,trader,traderId
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLi@192.168.1.29@20001,DLi@192.168.1.51@12001
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLj@192.168.1.29@20002,DLj@192.168.1.51@12002
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLjm@192.168.1.29@20003,DLjm@192.168.1.51@12003
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLl@192.168.1.29@20004,DLl@192.168.1.51@12004
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLm@192.168.1.29@20005,DLm@192.168.1.51@12005
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLp@192.168.1.29@20006,DLp@192.168.1.51@12006
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,DLpp@192.168.1.29@20007,DLpp@192.168.1.51@12007
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQal@192.168.1.29@20008,SQal@192.168.1.51@12008
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQau2@192.168.1.29@20009,SQau2@192.168.1.51@12009
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQbu@192.168.1.29@20010,SQbu@192.168.1.51@12010
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,SQrb@192.168.1.29@20011,SQrb@192.168.1.51@12011
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZCF@192.168.1.29@20012,ZZCF@192.168.1.51@12012
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZMA@192.168.1.29@20013,ZZMA@192.168.1.51@12013
Cn.Com.60B.Pattern@CnCom.Id002022.E,China.Commodities.Id002022E,ZZTC@192.168.1.29@20014,ZZTC@192.168.1.51@12014
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLbb@192.168.1.29@20201,
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLcs@192.168.1.29@20202,DLcs@192.168.1.16@29002
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLj@192.168.1.29@20203,DLj@192.168.1.16@29003
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLjd@192.168.1.29@20204,DLjd@192.168.1.16@29004
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLjm@192.168.1.29@20205,DLjm@192.168.1.16@29005
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,DLpp@192.168.1.29@20206,DLpp@192.168.1.16@29006
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQal@192.168.1.29@20207,SQal@192.168.1.16@29007
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQau2@192.168.1.29@20208,SQau2@192.168.1.16@29008
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQbu@192.168.1.29@20209,SQbu@192.168.1.16@29009
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQcu@192.168.1.29@20210,SQcu@192.168.1.16@29010
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQhc@192.168.1.29@20211,SQhc@192.168.1.16@29011
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQni@192.168.1.29@20212,SQni@192.168.1.16@29012
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQrb@192.168.1.29@20213,SQrb@192.168.1.16@29013
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQru@192.168.1.29@20214,SQru@192.168.1.16@29014
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQsn@192.168.1.29@20215,SQsn@192.168.1.16@29015
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZCF@192.168.1.29@20216,ZZCF@192.168.1.16@29016
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZJR@192.168.1.29@20217,
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZMA@192.168.1.29@20218,ZZMA@192.168.1.16@29018
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZOI@192.168.1.29@20219,ZZOI@192.168.1.16@29019
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZRS@192.168.1.29@20220,
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZSM@192.168.1.29@20221,ZZSM@192.168.1.16@29021
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZSR@192.168.1.29@20222,ZZSR@192.168.1.16@29022
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZTA@192.168.1.29@20223,ZZTA@192.168.1.16@29023
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZTC@192.168.1.29@20224,ZZTC@192.168.1.16@29024
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLa@192.168.1.29@20401,DLa@192.168.1.31@31001
